Error No. (DEC),Error No. (HEX),Description
6008,0x00001778,The specified file is not in the defined EFS export format.
6009,0x00001779,The specified file is read only.
6010,0x0000177A,The directory has been disabled for encryption.
6011,0x0000177B,The server is not trusted for remote encryption operation.
6012,0x0000177C,Recovery policy configured for this system contains invalid recovery certificate.
6013,0x0000177D,The encryption algorithm used on the source file needs a bigger key buffer than the one on the destination file.
6014,0x0000177E,The disk partition does not support file encryption.
6015,0x0000177F,This machine is disabled for file encryption.
6016,0x00001780,A newer system is required to decrypt this encrypted file.
6118,0x000017E6,The list of servers for this workgroup is not currently available
6200,0x00001838,The Task Scheduler service must be configured to run in the System account to function properly.  Individual tasks may be configured to run in other accounts.
7001,0x00001B59,The specified session name is invalid.
7002,0x00001B5A,The specified protocol driver is invalid.
7003,0x00001B5B,The specified protocol driver was not found in the system path.
7004,0x00001B5C,The specified terminal connection driver was not found in the system path.
7005,0x00001B5D,A registry key for event logging could not be created for this session.
7006,0x00001B5E,A service with the same name already exists on the system.
7007,0x00001B5F,A close operation is pending on the session.
7008,0x00001B60,There are no free output buffers available.
7009,0x00001B61,The MODEM.INF file was not found.
7010,0x00001B62,The modem name was not found in MODEM.INF.
7011,0x00001B63,The modem did not accept the command sent to it. Verify that the configured modem name matches the attached modem.
7012,0x00001B64,The modem did not respond to the command sent to it. Verify that the modem is properly cabled and powered on.
7013,0x00001B65,Carrier detect has failed or carrier has been dropped due to disconnect.
7014,0x00001B66,Dial tone not detected within the required time. Verify that the phone cable is properly attached and functional.
7015,0x00001B67,Busy signal detected at remote site on callback.
7016,0x00001B68,Voice detected at remote site on callback.
7017,0x00001B69,Transport driver error
7022,0x00001B6E,The specified session cannot be found.
7023,0x00001B6F,The specified session name is already in use.
7024,0x00001B70,"The requested operation cannot be completed because the terminal connection is currently busy processing a connect, disconnect, reset, or delete operation."
7025,0x00001B71,An attempt has been made to connect to a session whose video mode is not supported by the current client.
7035,0x00001B7B,"The application attempted to enable DOS graphics mode.
DOS graphics mode is not supported."
7037,0x00001B7D,"Your interactive logon privilege has been disabled.
Please contact your administrator."
7038,0x00001B7E,"The requested operation can be performed only on the system console.
This is most often the result of a driver or system DLL requiring direct console access."
7040,0x00001B80,The client failed to respond to the server connect message.
7041,0x00001B81,Disconnecting the console session is not supported.
7042,0x00001B82,Reconnecting a disconnected session to the console is not supported.
7044,0x00001B84,The request to control another session remotely was denied.
7045,0x00001B85,The requested session access is denied.
7049,0x00001B89,The specified terminal connection driver is invalid.
7050,0x00001B8A,"The requested session cannot be controlled remotely.
This may be because the session is disconnected or does not currently have a user logged on."
7051,0x00001B8B,The requested session is not configured to allow remote control.
7052,0x00001B8C,"Your request to connect to this Terminal Server has been rejected. Your Terminal Server client license number is currently being used by another user.
Please call your system administrator to obtain a unique license number."
7053,0x00001B8D,"Your request to connect to this Terminal Server has been rejected. Your Terminal Server client license number has not been entered for this copy of the Terminal Server client.
Please contact your system administrator."
7054,0x00001B8E,"The system has reached its licensed logon limit.
Please try again later."
7055,0x00001B8F,The client you are using is not licensed to use this system.  Your logon request is denied.
7056,0x00001B90,The system license has expired.  Your logon request is denied.
7057,0x00001B91,Remote control could not be terminated because the specified session is not currently being remotely controlled.
7058,0x00001B92,The remote control of the console was terminated because the display mode was changed. Changing the display mode in a remote control session is not supported.
7059,0x00001B93,
8001,0x00001F41,The file replication service API was called incorrectly.
8002,0x00001F42,The file replication service cannot be started.
8003,0x00001F43,The file replication service cannot be stopped.
8004,0x00001F44,"The file replication service API terminated the request.
The event log may have more information."
8005,0x00001F45,"The file replication service terminated the request.
The event log may have more information."
8006,0x00001F46,"The file replication service cannot be contacted.
The event log may have more information."
8007,0x00001F47,"The file replication service cannot satisfy the request because the user has insufficient privileges.
The event log may have more information."
8008,0x00001F48,"The file replication service cannot satisfy the request because authenticated RPC is not available.
The event log may have more information."
8009,0x00001F49,"The file replication service cannot satisfy the request because the user has insufficient privileges on the domain controller.
The event log may have more information."
8010,0x00001F4A,"The file replication service cannot satisfy the request because authenticated RPC is not available on the domain controller.
The event log may have more information."
8011,0x00001F4B,"The file replication service cannot communicate with the file replication service on the domain controller.
The event log may have more information."
8012,0x00001F4C,"The file replication service on the domain controller cannot communicate with the file replication service on this computer.
The event log may have more information."
8013,0x00001F4D,"The file replication service cannot populate the system volume because of an internal error.
The event log may have more information."
8014,0x00001F4E,"The file replication service cannot populate the system volume because of an internal timeout.
The event log may have more information."
8015,0x00001F4F,The file replication service cannot process the request. The system volume is busy with a previous request.
8016,0x00001F50,"The file replication service cannot stop replicating the system volume because of an internal error.
The event log may have more information."
8017,0x00001F51,The file replication service detected an invalid parameter.
8200,0x00002008,"An error occurred while installing the directory service. For more information, see the event log."
8201,0x00002009,The directory service evaluated group memberships locally.
8202,0x0000200A,The specified directory service attribute or value does not exist.
8203,0x0000200B,The attribute syntax specified to the directory service is invalid.
8204,0x0000200C,The attribute type specified to the directory service is not defined.
8205,0x0000200D,The specified directory service attribute or value already exists.
8206,0x0000200E,The directory service is busy.
8207,0x0000200F,The directory service is unavailable.
8208,0x00002010,The directory service was unable to allocate a relative identifier.
8209,0x00002011,The directory service has exhausted the pool of relative identifiers.
8210,0x00002012,The requested operation could not be performed because the directory service is not the master for that type of operation.
8211,0x00002013,The directory service was unable to initialize the subsystem that allocates relative identifiers.
8212,0x00002014,The requested operation did not satisfy one or more constraints associated with the class of the object.
8213,0x00002015,The directory service can perform the requested operation only on a leaf object.
8214,0x00002016,The directory service cannot perform the requested operation on the RDN attribute of an object.
8215,0x00002017,The directory service detected an attempt to modify the object class of an object.
8216,0x00002018,The requested cross-domain move operation could not be performed.
8217,0x00002019,Unable to contact the global catalog server.
8218,0x0000201A,The policy object is shared and can only be modified at the root.
8219,0x0000201B,The policy object does not exist.
8220,0x0000201C,The requested policy information is only in the directory service.
8221,0x0000201D,A domain controller promotion is currently active.
8222,0x0000201E,A domain controller promotion is not currently active
8224,0x00002020,An operations error occurred.
8225,0x00002021,A protocol error occurred.
8226,0x00002022,The time limit for this request was exceeded.
8227,0x00002023,The size limit for this request was exceeded.
8228,0x00002024,The administrative limit for this request was exceeded.
8229,0x00002025,The compare response was false.
8230,0x00002026,The compare response was true.
8231,0x00002027,The requested authentication method is not supported by the server.
8232,0x00002028,A more secure authentication method is required for this server.
8233,0x00002029,Inappropriate authentication.
8234,0x0000202A,The authentication mechanism is unknown.
8235,0x0000202B,A referral was returned from the server.
8236,0x0000202C,The server does not support the requested critical extension.
8237,0x0000202D,This request requires a secure connection.
8238,0x0000202E,Inappropriate matching.
8239,0x0000202F,A constraint violation occurred.
8240,0x00002030,There is no such object on the server.
8241,0x00002031,There is an alias problem.
8242,0x00002032,An invalid dn syntax has been specified.
8243,0x00002033,The object is a leaf object.
8244,0x00002034,There is an alias dereferencing problem.
8245,0x00002035,The server is unwilling to process the request.
8246,0x00002036,A loop has been detected.
8247,0x00002037,There is a naming violation.
8248,0x00002038,The result set is too large.
8249,0x00002039,The operation affects multiple DSAs
8250,0x0000203A,The server is not operational.
8251,0x0000203B,A local error has occurred.
8252,0x0000203C,An encoding error has occurred.
8253,0x0000203D,A decoding error has occurred.
8254,0x0000203E,The search filter cannot be recognized.
8255,0x0000203F,One or more parameters are illegal.
8256,0x00002040,The specified method is not supported.
8257,0x00002041,No results were returned.
8258,0x00002042,The specified control is not supported by the server.
8259,0x00002043,A referral loop was detected by the client.
8260,0x00002044,The preset referral limit was exceeded.
8261,0x00002045,The search requires a SORT control.
8262,0x00002046,The search results exceed the offset range specified.
8301,0x0000206D,The root object must be the head of a naming context. The root object cannot have an instantiated parent.
8302,0x0000206E,The add replica operation cannot be performed. The naming context must be writable in order to create the replica.
8303,0x0000206F,A reference to an attribute that is not defined in the schema occurred.
8304,0x00002070,The maximum size of an object has been exceeded.
8305,0x00002071,An attempt was made to add an object to the directory with a name that is already in use.
8306,0x00002072,An attempt was made to add an object of a class that does not have an RDN defined in the schema.
8307,0x00002073,An attempt was made to add an object using an RDN that is not the RDN defined in the schema.
8308,0x00002074,None of the requested attributes were found on the objects.
8309,0x00002075,The user buffer is too small.
8310,0x00002076,The attribute specified in the operation is not present on the object.
8311,0x00002077,Illegal modify operation. Some aspect of the modification is not permitted.
8312,0x00002078,The specified object is too large.
8313,0x00002079,The specified instance type is not valid.
8314,0x0000207A,The operation must be performed at a master DSA.
8315,0x0000207B,The object class attribute must be specified.
8316,0x0000207C,A required attribute is missing.
8317,0x0000207D,An attempt was made to modify an object to include an attribute that is not legal for its class.
8318,0x0000207E,The specified attribute is already present on the object.
8320,0x00002080,"The specified attribute is not present, or has no values."
8321,0x00002081,Mutliple values were specified for an attribute that can have only one value.
8322,0x00002082,A value for the attribute was not in the acceptable range of values.
8323,0x00002083,The specified value already exists.
8324,0x00002084,The attribute cannot be removed because it is not present on the object.
8325,0x00002085,The attribute value cannot be removed because it is not present on the object.
8326,0x00002086,The specified root object cannot be a subref.
8327,0x00002087,Chaining is not permitted.
8328,0x00002088,Chained evaluation is not permitted.
8329,0x00002089,The operation could not be performed because the object's parent is either uninstantiated or deleted.
8330,0x0000208A,Having a parent that is an alias is not permitted. Aliases are leaf objects.
8331,0x0000208B,"The object and parent must be of the same type, either both masters or both replicas."
8332,0x0000208C,The operation cannot be performed because child objects exist. This operation can only be performed on a leaf object.
8333,0x0000208D,Directory object not found.
8334,0x0000208E,The aliased object is missing.
8335,0x0000208F,The object name has bad syntax.
8336,0x00002090,It is not permitted for an alias to refer to another alias.
8337,0x00002091,The alias cannot be dereferenced.
8338,0x00002092,The operation is out of scope.
8339,0x00002093,The operation cannot continue because the object is in the process of being removed.
8340,0x00002094,The DSA object cannot be deleted.
8341,0x00002095,A directory service error has occurred.
8342,0x00002096,The operation can only be performed on an internal master DSA object.
8343,0x00002097,The object must be of class DSA.
8344,0x00002098,Insufficient access rights to perform the operation.
8345,0x00002099,The object cannot be added because the parent is not on the list of possible superiors.
8346,0x0000209A,Access to the attribute is not permitted because the attribute is owned by the Security Accounts Manager (SAM).
8347,0x0000209B,The name has too many parts.
8348,0x0000209C,The name is too long.
8349,0x0000209D,The name value is too long.
8350,0x0000209E,The directory service encountered an error parsing a name.
8351,0x0000209F,The directory service cannot get the attribute type for a name.
8352,0x000020A0,The name does not identify an object; the name identifies a phantom.
8353,0x000020A1,The security descriptor is too short.
8354,0x000020A2,The security descriptor is invalid.
8355,0x000020A3,Failed to create name for deleted object.
8356,0x000020A4,The parent of a new subref must exist.
8357,0x000020A5,The object must be a naming context.
8358,0x000020A6,It is not permitted to add an attribute which is owned by the system.
8359,0x000020A7,The class of the object must be structural; you cannot instantiate an abstract class.
8360,0x000020A8,The schema object could not be found.
8361,0x000020A9,A local object with this GUID (dead or alive) already exists.
8362,0x000020AA,The operation cannot be performed on a back link.
8363,0x000020AB,The cross reference for the specified naming context could not be found.
8364,0x000020AC,The operation could not be performed because the directory service is shutting down.
8365,0x000020AD,The directory service request is invalid.
8366,0x000020AE,The role owner attribute could not be read.
8367,0x000020AF,The requested FSMO operation failed. The current FSMO holder could not be contacted.
8368,0x000020B0,Modification of a DN across a naming context is not permitted.
8369,0x000020B1,The attribute cannot be modified because it is owned by the system.
8370,0x000020B2,Only the replicator can perform this function.
8371,0x000020B3,The specified class is not defined.
8372,0x000020B4,The specified class is not a subclass.
8373,0x000020B5,The name reference is invalid.
8374,0x000020B6,A cross reference already exists.
8375,0x000020B7,It is not permitted to delete a master cross reference.
8376,0x000020B8,Subtree notifications are only supported on NC heads.
8377,0x000020B9,Notification filter is too complex.
8378,0x000020BA,Schema update failed: duplicate RDN.
8379,0x000020BB,Schema update failed: duplicate OID.
8380,0x000020BC,Schema update failed: duplicate MAPI identifier.
8381,0x000020BD,Schema update failed: duplicate schema-id GUID.
8382,0x000020BE,Schema update failed: duplicate LDAP display name.
8383,0x000020BF,Schema update failed: range-lower less than range upper.
8384,0x000020C0,Schema update failed: syntax mismatch.
8385,0x000020C1,Schema deletion failed: attribute is used in must-contain.
8386,0x000020C2,Schema deletion failed: attribute is used in may-contain.
8387,0x000020C3,Schema update failed: attribute in may-contain does not exist.
8388,0x000020C4,Schema update failed: attribute in must-contain does not exist.
8389,0x000020C5,Schema update failed: class in aux-class list does not exist or is not an auxiliary class.
8390,0x000020C6,Schema update failed: class in poss-superiors does not exist.
8391,0x000020C7,Schema update failed: class in subclassof list does not exist or does not satisfy hierarchy rules.
8392,0x000020C8,Schema update failed: Rdn-Att-Id has wrong syntax.
8393,0x000020C9,Schema deletion failed: class is used as auxiliary class.
8394,0x000020CA,Schema deletion failed: class is used as sub class.
8395,0x000020CB,Schema deletion failed: class is used as poss superior.
8396,0x000020CC,Schema update failed in recalculating validation cache.
8397,0x000020CD,The tree deletion is not finished.  The request must be made again to continue deleting the tree.
8398,0x000020CE,The requested delete operation could not be performed.
8399,0x000020CF,Cannot read the governs class identifier for the schema record.
8400,0x000020D0,The attribute schema has bad syntax.
8401,0x000020D1,The attribute could not be cached.
8402,0x000020D2,The class could not be cached.
8403,0x000020D3,The attribute could not be removed from the cache.
8404,0x000020D4,The class could not be removed from the cache.
8405,0x000020D5,The distinguished name attribute could not be read.
8406,0x000020D6,A required subref is missing.
8407,0x000020D7,The instance type attribute could not be retrieved.
8408,0x000020D8,An internal error has occurred.
8409,0x000020D9,A database error has occurred.
8410,0x000020DA,The attribute GOVERNSID is missing.
8411,0x000020DB,An expected attribute is missing.
8412,0x000020DC,The specified naming context is missing a cross reference.
8413,0x000020DD,A security checking error has occurred.
8414,0x000020DE,The schema is not loaded.
8415,0x000020DF,Schema allocation failed. Please check if the machine is running low on memory.
8416,0x000020E0,Failed to obtain the required syntax for the attribute schema.
8417,0x000020E1,The global catalog verification failed. The global catalog is not available or does not support the operation. Some part of the directory is currently not available.
8418,0x000020E2,The replication operation failed because of a schema mismatch between the servers involved.
8419,0x000020E3,The DSA object could not be found.
8420,0x000020E4,The naming context could not be found.
8421,0x000020E5,The naming context could not be found in the cache.
8422,0x000020E6,The child object could not be retrieved.
8423,0x000020E7,The modification was not permitted for security reasons.
8424,0x000020E8,The operation cannot replace the hidden record.
8425,0x000020E9,The hierarchy file is invalid.
8426,0x000020EA,The attempt to build the hierarchy table failed.
8427,0x000020EB,The directory configuration parameter is missing from the registry.
8428,0x000020EC,The attempt to count the address book indices failed.
8429,0x000020ED,The allocation of the hierarchy table failed.
8430,0x000020EE,The directory service encountered an internal failure.
8431,0x000020EF,The directory service encountered an unknown failure.
8432,0x000020F0,A root object requires a class of 'top'.
8433,0x000020F1,"This directory server is shutting down, and cannot take ownership of new floating single-master operation roles."
8434,0x000020F2,"The directory service is missing mandatory configuration information, and is unable to determine the ownership of floating single-master operation roles."
8435,0x000020F3,The directory service was unable to transfer ownership of one or more floating single-master operation roles to other servers.
8436,0x000020F4,The replication operation failed.
8437,0x000020F5,An invalid parameter was specified for this replication operation.
8438,0x000020F6,The directory service is too busy to complete the replication operation at this time.
8439,0x000020F7,The distinguished name specified for this replication operation is invalid.
8440,0x000020F8,The naming context specified for this replication operation is invalid.
8441,0x000020F9,The distinguished name specified for this replication operation already exists.
8442,0x000020FA,The replication system encountered an internal error.
8443,0x000020FB,The replication operation encountered a database inconsistency.
8444,0x000020FC,The server specified for this replication operation could not be contacted.
8445,0x000020FD,The replication operation encountered an object with an invalid instance type.
8446,0x000020FE,The replication operation failed to allocate memory.
8447,0x000020FF,The replication operation encountered an error with the mail system.
8448,0x00002100,The replication reference information for the target server already exists.
8449,0x00002101,The replication reference information for the target server does not exist.
8450,0x00002102,The naming context cannot be removed because it is replicated to another server.
8451,0x00002103,The replication operation encountered a database error.
8452,0x00002104,The naming context is in the process of being removed or is not replicated from the specified server.
8453,0x00002105,Replication access was denied.
8454,0x00002106,The requested operation is not supported by this version of the directory service.
8455,0x00002107,The replication remote procedure call was cancelled.
8456,0x00002108,The source server is currently rejecting replication requests.
8457,0x00002109,The destination server is currently rejecting replication requests.
8458,0x0000210A,The replication operation failed due to a collision of object names.
8459,0x0000210B,The replication source has been reinstalled.
8460,0x0000210C,The replication operation failed because a required parent object is missing.
8461,0x0000210D,The replication operation was preempted.
8462,0x0000210E,The replication synchronization attempt was abandoned because of a lack of updates.
8463,0x0000210F,The replication operation was terminated because the system is shutting down.
8464,0x00002110,The replication synchronization attempt failed as the destination partial attribute set is not a subset of source partial attribute set.
8465,0x00002111,The replication synchronization attempt failed because a master replica attempted to sync from a partial replica.
8466,0x00002112,"The server specified for this replication operation was contacted, but that server was unable to contact an additional server needed to complete the operation."
8467,0x00002113,The version of the Active Directory schema of the source forest is not compatible with the version of Active Directory on this computer.  You must upgrade the operating system on a domain controller in the source forest before this computer can be added as a domain controller to that forest.
8468,0x00002114,Schema update failed: An attribute with the same link identifier already exists.
8469,0x00002115,Name translation: Generic processing error.
8470,0x00002116,Name translation: Could not find the name or insufficient right to see name.
8471,0x00002117,Name translation: Input name mapped to more than one output name.
8472,0x00002118,"Name translation: Input name found, but not the associated output format."
8473,0x00002119,"Name translation: Unable to resolve completely, only the domain was found."
8474,0x0000211A,Name translation: Unable to perform purely syntactical mapping at the client without going out to the wire.
8475,0x0000211B,Modification of a constructed att is not allowed.
8476,0x0000211C,The OM-Object-Class specified is incorrect for an attribute with the specified syntax.
8477,0x0000211D,The replication request has been posted; waiting for reply.
8478,0x0000211E,"The requested operation requires a directory service, and none was available."
8479,0x0000211F,The LDAP display name of the class or attribute contains non-ASCII characters.
8480,0x00002120,The requested search operation is only supported for base searches.
8481,0x00002121,The search failed to retrieve attributes from the database.
8482,0x00002122,The schema update operation tried to add a backward link attribute that has no corresponding forward link.
8483,0x00002123,Source and destination of a cross-domain move do not agree on the object's epoch number.  Either source or destination does not have the latest version of the object.
8484,0x00002124,Source and destination of a cross-domain move do not agree on the object's current name.  Either source or destination does not have the latest version of the object.
8485,0x00002125,Source and destination for the cross-domain move operation are identical.  Caller should use local move operation instead of cross-domain move operation.
8486,0x00002126,Source and destination for a cross-domain move are not in agreement on the naming contexts in the forest.  Either source or destination does not have the latest version of the Partitions container.
8487,0x00002127,Destination of a cross-domain move is not authoritative for the destination naming context.
8488,0x00002128,Source and destination of a cross-domain move do not agree on the identity of the source object.  Either source or destination does not have the latest version of the source object.
8489,0x00002129,Object being moved across-domains is already known to be deleted by the destination server.  The source server does not have the latest version of the source object.
8490,0x0000212A,Another operation which requires exclusive access to the PDC FSMO is already in progress.
8491,0x0000212B,A cross-domain move operation failed such that two versions of the moved object exist - one each in the source and destination domains.  The destination object needs to be removed to restore the system to a consistent state.
8492,0x0000212C,"This object may not be moved across domain boundaries either because cross-domain moves for this class are disallowed, or the object has some special characteristics, eg: trust account or restricted RID, which prevent its move."
8493,0x0000212D,"Can't move objects with memberships across domain boundaries as once moved, this would violate the membership conditions of the account group.  Remove the object from any account group memberships and retry."
8494,0x0000212E,"A naming context head must be the immediate child of another naming context head, not of an interior node."
8495,0x0000212F,"The directory cannot validate the proposed naming context name because it does not hold a replica of the naming context above the proposed naming context.  Please ensure that the domain naming master role is held by a server that is configured as a global catalog server, and that the server is up to date with its replication partners. (Applies only to Windows 2000 Domain Naming masters)"
8496,0x00002130,Destination domain must be in native mode.
8497,0x00002131,The operation can not be performed because the server does not have an infrastructure container in the domain of interest.
8498,0x00002132,Cross-domain move of non-empty account groups is not allowed.
8499,0x00002133,Cross-domain move of non-empty resource groups is not allowed.
8500,0x00002134,The search flags for the attribute are invalid. The ANR bit is valid only on attributes of Unicode or Teletex strings.
8501,0x00002135,Tree deletions starting at an object which has an NC head as a descendant are not allowed.
8502,0x00002136,The directory service failed to lock a tree in preparation for a tree deletion because the tree was in use.
8503,0x00002137,The directory service failed to identify the list of objects to delete while attempting a tree deletion.
8504,0x00002138,"Security Accounts Manager initialization failed because of the following error: %1.
Error Status: 0x%2. Click OK to shut down the system and reboot into Directory Services Restore Mode. Check the event log for detailed information."
8505,0x00002139,Only an administrator can modify the membership list of an administrative group.
8506,0x0000213A,Cannot change the primary group ID of a domain controller account.
8507,0x0000213B,An attempt is made to modify the base schema.
8508,0x0000213C,"Adding a new mandatory attribute to an existing class, deleting a mandatory attribute from an existing class, or adding an optional attribute to the special class Top that is not a backlink attribute (directly or through inheritance, for example, by adding or deleting an auxiliary class) is not allowed."
8509,0x0000213D,Schema update is not allowed on this DC because the DC is not the schema FSMO Role Owner.
8510,0x0000213E,An object of this class cannot be created under the schema container. You can only create attribute-schema and class-schema objects under the schema container.
8511,0x0000213F,The replica/child install failed to get the objectVersion attribute on the schema container on the source DC. Either the attribute is missing on the schema container or the credentials supplied do not have permission to read it.
8512,0x00002140,The replica/child install failed to read the objectVersion attribute in the SCHEMA section of the file schema.ini in the system32 directory.
8513,0x00002141,The specified group type is invalid.
8514,0x00002142,You cannot nest global groups in a mixed domain if the group is security-enabled.
8515,0x00002143,You cannot nest local groups in a mixed domain if the group is security-enabled.
8516,0x00002144,A global group cannot have a local group as a member.
8517,0x00002145,A global group cannot have a universal group as a member.
8518,0x00002146,A universal group cannot have a local group as a member.
8519,0x00002147,A global group cannot have a cross-domain member.
8520,0x00002148,A local group cannot have another cross domain local group as a member.
8521,0x00002149,A group with primary members cannot change to a security-disabled group.
8522,0x0000214A,The schema cache load failed to convert the string default SD on a class-schema object.
8523,0x0000214B,Only DSAs configured to be Global Catalog servers should be allowed to hold the Domain Naming Master FSMO role. (Applies only to Windows 2000 servers)
8524,0x0000214C,The DSA operation is unable to proceed because of a DNS lookup failure.
8525,0x0000214D,"While processing a change to the DNS Host Name for an object, the Service Principal Name values could not be kept in sync."
8526,0x0000214E,The Security Descriptor attribute could not be read.
8527,0x0000214F,"The object requested was not found, but an object with that key was found."
8528,0x00002150,"The syntax of the linked attribute being added is incorrect. Forward links can only have syntax 2.5.5.1, 2.5.5.7, and 2.5.5.14, and backlinks can only have syntax 2.5.5.1"
8529,0x00002151,Security Account Manager needs to get the boot password.
8530,0x00002152,Security Account Manager needs to get the boot key from floppy disk.
8531,0x00002153,Directory Service cannot start.
8532,0x00002154,Directory Services could not start.
8533,0x00002155,The connection between client and server requires packet privacy or better.
8534,0x00002156,The source domain may not be in the same forest as destination.
8535,0x00002157,The destination domain must be in the forest.
8536,0x00002158,The operation requires that destination domain auditing be enabled.
8537,0x00002159,The operation couldn't locate a DC for the source domain.
8538,0x0000215A,The source object must be a group or user.
8539,0x0000215B,The source object's SID already exists in destination forest.
8540,0x0000215C,The source and destination object must be of the same type.
8541,0x0000215D,"Security Accounts Manager initialization failed because of the following error: %1.
Error Status: 0x%2. Click OK to shut down the system and reboot into Safe Mode. Check the event log for detailed information."
8542,0x0000215E,Schema information could not be included in the replication request.
8543,0x0000215F,The replication operation could not be completed due to a schema incompatibility.
8544,0x00002160,The replication operation could not be completed due to a previous schema incompatibility.
8545,0x00002161,The replication update could not be applied because either the source or the destination has not yet received information regarding a recent cross-domain move operation.
8546,0x00002162,The requested domain could not be deleted because there exist domain controllers that still host this domain.
8547,0x00002163,The requested operation can be performed only on a global catalog server.
8548,0x00002164,A local group can only be a member of other local groups in the same domain.
8549,0x00002165,Foreign security principals cannot be members of universal groups.
8550,0x00002166,The attribute is not allowed to be replicated to the GC because of security reasons.
8551,0x00002167,The checkpoint with the PDC could not be taken because there too many modifications being processed currently.
8552,0x00002168,The operation requires that source domain auditing be enabled.
8553,0x00002169,Security principal objects can only be created inside domain naming contexts.
8554,0x0000216A,A Service Principal Name (SPN) could not be constructed because the provided hostname is not in the necessary format.
8555,0x0000216B,A Filter was passed that uses constructed attributes.
8556,0x0000216C,The unicodePwd attribute value must be enclosed in double quotes.
8557,0x0000216D,Your computer could not be joined to the domain. You have exceeded the maximum number of computer accounts you are allowed to create in this domain. Contact your system administrator to have this limit reset or increased.
8558,0x0000216E,"For security reasons, the operation must be run on the destination DC."
8559,0x0000216F,"For security reasons, the source DC must be NT4SP4 or greater."
8560,0x00002170,Critical Directory Service System objects cannot be deleted during tree delete operations.  The tree delete may have been partially performed.
8561,0x00002171,"Directory Services could not start because of the following error: %1.
Error Status: 0x%2. Please click OK to shutdown the system. You can use the recovery console to diagnose the system further."
8562,0x00002172,"Security Accounts Manager initialization failed because of the following error: %1.
Error Status: 0x%2. Please click OK to shutdown the system. You can use the recovery console to diagnose the system further."
8563,0x00002173,This version of Windows is too old to support the current directory forest behavior.  You must upgrade the operating system on this server before it can become a domain controller in this forest.
8564,0x00002174,This version of Windows is too old to support the current domain behavior.  You must upgrade the operating system on this server before it can become a domain controller in this domain.
8565,0x00002175,This version of Windows no longer supports the behavior version in use in this directory forest.  You must advance the forest behavior version before this server can become a domain controller in the forest.
8566,0x00002176,This version of Windows no longer supports the behavior version in use in this domain.  You must advance the domain behavior version before this server can become a domain controller in the domain.
8567,0x00002177,The version of Windows is incompatible with the behavior version of the domain or forest.
8568,0x00002178,The behavior version cannot be increased to the requested value because Domain Controllers still exist with versions lower than the requested value.
8569,0x00002179,The behavior version value cannot be increased while the domain is still in mixed domain mode.  You must first change the domain to native mode before increasing the behavior version.
8570,0x0000217A,The sort order requested is not supported.
8571,0x0000217B,Found an object with a non unique name.
8572,0x0000217C,The machine account was created pre-NT4.  The account needs to be recreated.
8573,0x0000217D,The database is out of version store.
8574,0x0000217E,Unable to continue operation because multiple conflicting controls were used.
8575,0x0000217F,Unable to find a valid security descriptor reference domain for this partition.
8576,0x00002180,Schema update failed: The link identifier is reserved.
8577,0x00002181,Schema update failed: There are no link identifiers available.
8578,0x00002182,A account group can not have a universal group as a member.
8579,0x00002183,Rename or move operations on naming context heads or read-only objects are not allowed.
8580,0x00002184,Move operations on objects in the schema naming context are not allowed.
8581,0x00002185,A system flag has been set on the object and does not allow the object to be moved or renamed.
8582,0x00002186,"This object is not allowed to change its grandparent container. Moves are not forbidden on this object, but are restricted to sibling containers."
8583,0x00002187,"Unable to resolve completely, a referral to another forest is generated."
8584,0x00002188,The requested action is not supported on standard server.
8585,0x00002189,Could not access a partition of the Active Directory located on a remote server.  Make sure at least one server is running for the partition in question.
8586,0x0000218A,"The directory cannot validate the proposed naming context (or partition) name because it does not hold a replica nor can it contact a replica of the naming context above the proposed naming context.  Please ensure that the parent naming context is properly registered in DNS, and at least one replica of this naming context is reachable by the Domain Naming master."
8587,0x0000218B,The thread limit for this request was exceeded.
8588,0x0000218C,The Global catalog server is not in the closest site.
8589,0x0000218D,The DS cannot derive a service principal name (SPN) with which to mutually authenticate the target server because the corresponding server object in the local DS database has no serverReference attribute.
8590,0x0000218E,The Directory Service failed to enter single user mode.
8591,0x0000218F,The Directory Service cannot parse the script because of a syntax error.
8592,0x00002190,The Directory Service cannot process the script because of an error.
8593,0x00002191,"The directory service cannot perform the requested operation because the servers
involved are of different replication epochs (which is usually related to a
domain rename that is in progress)."
8594,0x00002192,"The directory service binding must be renegotiated due to a change in the server
extensions information."
8595,0x00002193,Operation not allowed on a disabled cross ref.
8596,0x00002194,Schema update failed: No values for msDS-IntId are available.
8597,0x00002195,Schema update failed: Duplicate msDS-INtId. Retry the operation.
8598,0x00002196,Schema deletion failed: attribute is used in rDNAttID.
8599,0x00002197,The directory service failed to authorize the request.
8600,0x00002198,The Directory Service cannot process the script because it is invalid.
8601,0x00002199,The remote create cross reference operation failed on the Domain Naming Master FSMO.  The operation's error is in the extended data.
8602,0x0000219A,
8603,0x0000219B,
8604,0x0000219C,
8605,0x0000219D,
8606,0x0000219E,
8607,0x0000219F,
8608,0x000021A0,
8609,0x000021A1,
8610,0x000021A2,
8611,0x000021A3,
8612,0x000021A4,
8613,0x000021A5,
8614,0x000021A6,
8615,0x000021A7,
8616,0x000021A8,
9000,0x00002328,
9001,0x00002329,DNS server unable to interpret format.
9002,0x0000232A,DNS server failure.
9003,0x0000232B,DNS name does not exist.
9004,0x0000232C,DNS request not supported by name server.
