Error No. (DEC),Error No. (HEX),Description
164,0x000000A4,No more threads can be created in the system.
167,0x000000A7,Unable to lock a region of a file.
170,0x000000AA,The requested resource is in use.
173,0x000000AD,A lock request was not outstanding for the supplied cancel region.
174,0x000000AE,The file system does not support atomic changes to the lock type.
180,0x000000B4,The system detected a segment number that was not correct.
182,0x000000B6,The operating system cannot run %1.
183,0x000000B7,Cannot create a file when that file already exists.
186,0x000000BA,The flag passed is not correct.
187,0x000000BB,The specified system semaphore name was not found.
188,0x000000BC,The operating system cannot run %1.
189,0x000000BD,The operating system cannot run %1.
190,0x000000BE,The operating system cannot run %1.
191,0x000000BF,Cannot run %1 in Win32 mode.
192,0x000000C0,The operating system cannot run %1.
193,0x000000C1,%1 is not a valid Win32 application.
194,0x000000C2,The operating system cannot run %1.
195,0x000000C3,The operating system cannot run %1.
196,0x000000C4,The operating system cannot run this application program.
197,0x000000C5,The operating system is not presently configured to run this application.
198,0x000000C6,The operating system cannot run %1.
199,0x000000C7,The operating system cannot run this application program.
200,0x000000C8,The code segment cannot be greater than or equal to 64K.
201,0x000000C9,The operating system cannot run %1.
202,0x000000CA,The operating system cannot run %1.
203,0x000000CB,The system could not find the environment option that was entered.
205,0x000000CD,No process in the command subtree has a signal handler.
206,0x000000CE,The filename or extension is too long.
207,0x000000CF,The ring 2 stack is in use.
208,0x000000D0,"The global filename characters, * or ?, are entered incorrectly or too many global filename characters are specified."
209,0x000000D1,The signal being posted is not correct.
210,0x000000D2,The signal handler cannot be set.
212,0x000000D4,The segment is locked and cannot be reallocated.
214,0x000000D6,Too many dynamic-link modules are attached to this program or dynamic-link module.
215,0x000000D7,Cannot nest calls to LoadModule.
216,0x000000D8,"The image file %1 is valid, but is for a machine type other than the current machine."
217,0x000000D9,
218,0x000000DA,
230,0x000000E6,The pipe state is invalid.
231,0x000000E7,All pipe instances are busy.
232,0x000000E8,The pipe is being closed.
233,0x000000E9,No process is on the other end of the pipe.
234,0x000000EA,More data is available.
240,0x000000F0,The session was canceled.
254,0x000000FE,The specified extended attribute name was invalid.
255,0x000000FF,The extended attributes are inconsistent.
258,0x00000102,The wait operation timed out.
259,0x00000103,No more data is available.
266,0x0000010A,The copy functions cannot be used.
267,0x0000010B,The directory name is invalid.
275,0x00000113,The extended attributes did not fit in the buffer.
276,0x00000114,The extended attribute file on the mounted file system is corrupt.
277,0x00000115,The extended attribute table file is full.
278,0x00000116,The specified extended attribute handle is invalid.
282,0x0000011A,The mounted file system does not support extended attributes.
